code,E2008,E2009
S02000260,103.0956187,99.5156603
S02000261,47.81801528,47.77799093
S02000262,97.87307273,95.01386538
S02000263,80.18075467,81.93078833
S02000264,132.9175633,128.9152861
S02000265,59.12567498,58.218016
S02000266,64.74769924,62.94401899
S02000267,73.02601139,71.81601386
S02000268,141.8539675,138.1200524
S02000269,88.85732977,86.38864605
S02000270,132.1903931,126.9555927
S02000271,95.2935699,92.58345004
S02000272,95.72116846,93.209035
S02000273,70.00371391,69.36514837
S02000274,69.38712569,66.97886395
S02000275,65.61276065,63.25728191
S02000276,101.5776407,100.217924
S02000277,81.84947221,78.47658443
S02000278,57.99465115,57.6769094
S02000279,113.9329669,107.9953214
S02000280,79.76301747,76.73186859
S02000281,94.64229,91.39826078
S02000282,84.07673307,80.74314549
S02000283,56.37095332,53.94194154
S02000284,71.66733718,70.28637156
S02000285,56.89096063,59.30000434
S02000286,86.89433924,83.9016875
S02000287,96.89898994,96.5996365
S02000310,105.1266233,102.7823804
S02000311,153.4016685,148.2454116
S02000312,68.37698978,66.53730662
S02000313,112.1597505,111.9353326
S02000314,119.6247537,116.5010689
S02000316,84.55937125,83.03776012
S02000317,123.3818143,122.2120668
S02000318,133.877072,130.3337706
S02000319,63.35342868,62.43200485
S02000320,72.10579146,70.61234872
S02000321,123.6791994,120.822083
S02000322,75.18119421,73.95606517
S02000323,83.92174501,84.31435345
S02000324,84.64551008,82.49106419
S02000325,117.2901945,113.0817802
S02000326,125.8014368,121.4286119
S02000327,99.04564104,94.65341117
S02000328,123.6546414,119.7056458
S02000329,74.62936415,71.82771383
S02000584,76.93392405,74.69098871
S02000585,109.2424047,108.1567223
S02000586,76.15714289,77.59219401
S02000587,87.15392399,84.64736738
S02000588,73.50365571,71.40722618
S02000589,105.3284738,99.35676028
S02000590,58.65200092,57.50858555
S02000591,58.10657367,56.44181253
S02000592,91.09596024,88.56748139
S02000593,112.5328937,105.4021241
S02000594,72.97231901,69.75973854
S02000595,74.34199497,72.57409837
S02000596,111.357617,108.2455079
S02000597,107.3119267,105.6104678
S02000598,75.13551061,71.25281142
S02000599,85.66453088,81.74580322
S02000600,82.91989225,79.81612522
S02000601,82.93717414,80.74044459
S02000602,113.6283562,109.141943
S02000603,77.91465766,75.8064044
S02000604,67.86254329,65.18541092
S02000605,52.02693472,51.71422844
S02000606,72.44441231,67.63992184
S02000607,90.16739429,88.96811951
S02000608,116.0469504,114.9369891
S02000609,62.21940602,60.8259854
S02000610,129.340218,126.0166982
S02000611,85.00197843,82.55550588
S02000612,122.26393,118.3444295
S02000613,65.34243949,62.67452997
S02000614,91.54950005,91.59956461
S02000615,83.81141403,81.67293534
S02000616,100.527202,101.19917
S02000617,86.63471991,83.71617094
S02000618,98.98806714,96.55471154
S02000619,80.52490204,75.95629227
S02000620,109.2134906,107.4108394
S02000621,126.8696994,121.9047877
S02000622,73.27410395,73.70134569
S02000623,84.62349638,80.75958846
S02000624,85.2381525,85.24858037
S02000625,77.72322884,73.39974841
S02000626,86.0981605,82.10843542
S02000627,122.8651034,118.4292335
S02000628,126.3662037,122.238635
S02000629,57.29588523,55.78763758
S02000630,67.60674025,65.90453359
S02000631,84.00499236,80.63392923
S02000632,102.5819079,96.39436654
S02000633,97.58565532,95.46848454
S02000634,65.42751641,62.47621567
S02000635,111.8399702,110.9762021
S02000636,93.36336579,89.94182539
S02000637,88.66525259,82.23780362
S02000638,95.56992348,87.06661184
S02000639,71.51402334,67.79677566
S02000640,121.8535584,118.1604377
S02000641,125.5511536,120.0412413
S02000642,71.85078763,67.32792883
S02000643,74.44918099,69.72823481
S02000644,60.47165279,59.41091204
S02000645,80.68736223,79.71082866
S02000646,88.86475961,85.94398641
S02000647,69.99098059,65.92221167
S02000648,97.48706162,94.05114089
S02000649,52.85044376,51.55707615
S02000650,68.63712448,67.81609124
S02000651,61.12190441,60.50242757
S02000652,66.91543352,65.26142357
S02000653,60.27469618,58.25595232
S02000654,135.3270667,133.0419958
S02000655,65.9606563,66.12614883
S02000656,103.953392,100.94273
S02000657,95.87252246,90.03295776
S02000658,173.7512128,164.8181171
S02000659,125.0967013,123.8005067
S02000660,126.6847487,121.3907953
S02000661,92.62229402,90.12338339
S02000662,59.74112333,55.92666109
S02000663,109.4147911,105.4261945
S02000664,95.60622251,93.74838268
S02000665,82.49915542,82.6929724
S02000666,124.7237131,121.2707689
S02000667,124.8530696,120.1793555
S02000668,49.50494645,50.47862876
